https://www.youtube.com/

This file contains file ID vs direct link to access You Tube clip that are follows:



File ID			link

5StJa6Ia6bI	https://www.youtube.com/watch?v=5StJa6Ia6bI&t=50s
oL2B-AAnsHo	https://www.youtube.com/results?search_query=oL2B-AAnsHo
jOUp2ODyfns	https://www.youtube.com/watch?v=jOUp2ODyfns&t=65s
k8fI3Kkm3GM	https://www.youtube.com/watch?v=k8fI3Kkm3GM&t=4089s
kPlJpn3RPRQ	https://www.youtube.com/watch?v=kPlJpn3RPRQ&t=59s
U3frQdGaJiY	https://www.youtube.com/watch?v=U3frQdGaJiY
8RZfZ3qpAMk	https://www.youtube.com/watch?v=8RZfZ3qpAMk&t=49s
IzNvuvgbBnU	https://www.youtube.com/watch?v=IzNvuvgbBnU
uFntwSG1iAA	https://www.youtube.com/watch?v=uFntwSG1iAA&t=95s
W7rJpRqK-8E(m)	https://www.youtube.com/watch?v=W7rJpRqK-8E&t=52s
wbgA6VrNtsw	https://www.youtube.com/watch?v=wbgA6VrNtsw&t=83s
yPXj3UCDJ8M	https://www.youtube.com/watch?v=yPXj3UCDJ8M
75MKX1nmeNA	https://www.youtube.com/watch?v=75MKX1nmeNA&t=110s
PVInYtjLH6k	https://www.youtube.com/watch?v=PVInYtjLH6k&t=83s
FXJlxzeVgSw	https://www.youtube.com/watch?v=FXJlxzeVgSw
QdDJHTvY6mQ	https://www.youtube.com/watch?v=QdDJHTvY6mQ
KKKId0LDwVc	https://www.youtube.com/watch?v=KKKId0LDwVc&t=53s
p73tJ6G-0	https://www.youtube.com/watch?v=T_p73tJ6G-0
uouMndiZtDc	https://www.youtube.com/watch?v=uouMndiZtDc&t=43s
Xy9fxgE		https://www.youtube.com/watch?v=aS6_Xy9fxgE
